X,Y,Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon
75.6160607,13.8995217,Sri Chamundaswari Cement Product,,,,,,-1,0,-1,,
78.4586906,17.4384514,India Cements Ltd,,,,,,-1,0,-1,,
75.7296288,27.6901783,Binani Cement Limited,,,,,,-1,0,-1,,
78.4393842,17.4283101,Penna Cement Corporate Office,,,,,,-1,0,-1,,
77.8324398,11.4550454,The India Cements Limited,,,,,,-1,0,-1,,
75.1067384,15.3551015,The India Cements Limited,,,,,,-1,0,-1,,
86.2244178,22.8278635,The India Cements Ltd.,,,,,,-1,0,-1,,
80.2661396,13.0647131,The India Cements Limited,,,,,,-1,0,-1,,
79.6948745,16.7171907,Penna Cement Industries Ltd,,,,,,-1,0,-1,,
77.4363029,23.2265679,Heidelberg Cement India Ltd,,,,,,-1,0,-1,,
72.998402,19.063148,Heidelberg Cement India LTD.,,,,,,-1,0,-1,,
