X,Y,Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon
73.0228173,21.6180391,Ankleshwar GIDC,,,,,,-1,0,-1,,
72.9931641,21.5715285,"GIDC, Panoli",,,,,,-1,0,-1,,
72.9401509,20.3634554,GIDC,,,,,,-1,0,-1,,
77.3574817,28.6420883,Mohan nagar industrial area,,,,,,-1,0,-1,,
77.3800566,28.6698047,Rajinder nagar industrial area,,,,,,-1,0,-1,,
77.3435791,28.6493934,Sahibabad industrial area,,,,,,-1,0,-1,,
77.4787617,28.6673572,Pandav nagar industrial area,,,,,,-1,0,-1,,
77.4550939,28.6652109,Kavi nagar industrial area,,,,,,-1,0,-1,,
77.4661446,28.638924,Bulandshahar road industrial area,,,,,,-1,0,-1,,
77.4440861,28.6454775,Amrit nagar,,,,,,-1,0,-1,,
77.3058772,28.6468343,"Arya Nagar, Dayanand Vihar",,,,,,-1,0,-1,,
77.3910427,28.6834346,Loni industrial area,,,,,,-1,0,-1,,
77.4510384,28.7148291,Merrut road industrial area,,,,,,-1,0,-1,,
77.3243737,28.4982266,Roop nagar industrial area,,,,,,-1,0,-1,,
77.2611809,28.7873694,Tronica city,,,,,,-1,0,-1,,
77.1675689,28.674142,Anand Nagar,,,,,,-1,0,-1,,
79.2358973,19.9775302,MIDC Chandrapur,,,,,,-1,0,-1,,
79.2056361,20.0057598,Tadali,,,,,,-1,0,-1,,
79.1153367,19.941447,Ghugus,,,,,,-1,0,-1,,
79.3634517,19.8390022,Balharshah,,,,,,-1,0,-1,,
82.6692867,22.4316575,"HTPS Township, Korba, Chhattisgarh",,,,,,-1,0,-1,,
82.6520348,22.4193995,"NTPC Township, Korba, Chhattisgarh",,,,,,-1,0,-1,,
82.7720261,22.3942057,Korba town,,,,,,-1,0,-1,,
82.6616478,22.4269567,CSEB,,,,,,-1,0,-1,,
76.8445999,28.2088218,Bhiwadi,,,,,,-1,0,-1,,
76.7649078,28.1283111,Khuskhera industrial area,,,,,,-1,0,-1,,
76.8665314,28.1501086,Chopanki industrial area,,,,,,-1,0,-1,,
84.9902344,20.9409197,MCL Coal mining area,,,,,,-1,0,-1,,
84.8144531,20.9178314,Augul induatrial area,,,,,,-1,0,-1,,
77.8803635,12.7311076,SIPCOT industrial complex,,,,,,-1,0,-1,,
83.0099487,24.4596506,Sonebhadra industrial area,,,,,,-1,0,-1,,
85.5238865,20.141687,Dalatola,,,,,,-1,0,-1,,
82.9877866,24.4745021,Obra,,,,,,-1,0,-1,,
83.0334524,24.2194761,Renukoot,,,,,,-1,0,-1,,
82.7832489,24.2048772,Anpara,,,,,,-1,0,-1,,
82.7872919,24.1829021,Renusagar,,,,,,-1,0,-1,,
82.7765101,24.1794362,Kakri,,,,,,-1,0,-1,,
82.6469938,24.1082325,Dudhichua,,,,,,-1,0,-1,,
75.8365631,30.9316788,Ludhiana municipal limits,,,,,,-1,0,-1,,
75.9306335,30.8992788,Focal point,,,,,,-1,0,-1,,
75.8606577,30.887551,Industrial Area-B,,,,,,-1,0,-1,,
75.9147549,30.8526477,Industrial area –C,,,,,,-1,0,-1,,
75.8737288,30.8960287,Industrial Area- A,,,,,,-1,0,-1,,
-84.2108488,38.0059443,MIA – bypass road,,,,,,-1,0,-1,,
86.9124985,23.6714899,Bumpur area surrounding IISCO,,,,,,-1,0,-1,,
78.266725,17.5287427,Patancheru,,,,,,-1,0,-1,,
78.348665,17.5553464,Industrial Development Area Bollaram,,,,,,-1,0,-1,,
73.596218,23.0839945,Sabalpur,,,,,,-1,0,-1,,
77.5772095,12.971271,Jay Bhuvneshwari,,,,,,-1,0,-1,,
70.4687119,21.5688146,GIDC Junagarh,,,,,,-1,0,-1,,
83.2619476,17.6872036,Bowl area,,,,,,-1,0,-1,,
72.0930576,21.7582641,"GIDI Chitra, Bhavnagar",,,,,,-1,0,-1,,
75.8338165,22.8059341,Sanwer road,,,,,,-1,0,-1,,
75.8711873,22.7352373,Shivaji Nagar,,,,,,-1,0,-1,,
75.860467,22.7384671,Pologround,,,,,,-1,0,-1,,
75.8412484,22.7269846,Laxmi Bai Nagar,,,,,,-1,0,-1,,
75.8316064,22.7021772,Scheme 71,,,,,,-1,0,-1,,
76.9799995,29.3927947,Panipat municipal area,,,,,,-1,0,-1,,
76.9556643,29.4013601,Industrial Area,,,,,,-1,0,-1,,
72.7436583,19.7980784,MIDC Tarapur,,,,,,-1,0,-1,,
77.3931885,13.1035551,KSSIDC Industrial area,,,,,,-1,0,-1,,
76.977253,10.964281,"SIDCO, Kurichi industrial Clusters",,,,,,-1,0,-1,,
