WKT,Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon
"POLYGON Z ((77.3552513 28.6316168 0,77.3547363 28.6115757 0,77.3528481 28.6096166 0,77.3558521 28.6108976 0,77.3728466 28.6098426 0,77.3742199 28.6316168 0,77.3552513 28.6316168 0))",Mohan nagar industrial area,,,,,,-1,0,-1,,
"POLYGON Z ((77.3760223 28.6783142 0,77.3730183 28.6732312 0,77.3781896 28.6724029 0,77.3818803 28.6785966 0,77.3760223 28.6783142 0))",Rajinder nagar industrial area,,,,,,-1,0,-1,,
"POLYGON Z ((77.3698425 28.6684492 0,77.3670101 28.6710097 0,77.3676968 28.6735701 0,77.3662376 28.6749256 0,77.3700142 28.678013 0,77.3227215 28.6763563 0,77.3227215 28.6732689 0,77.3379135 28.6738713 0,77.3409176 28.6729676 0,77.3422909 28.6712356 0,77.3198032 28.6541396 0,77.3175716 28.6455529 0,77.3319054 28.6461555 0,77.3698425 28.6684492 0))",Sahibabad industrial area,,,,,,-1,0,-1,,
"POLYGON Z ((77.4650717 28.6609181 0,77.4688482 28.6580184 0,77.470994 28.6553823 0,77.471509 28.6530098 0,77.4724531 28.6535747 0,77.4792767 28.663667 0,77.4762726 28.6653615 0,77.4766159 28.6659263 0,77.476058 28.6661899 0,77.4759722 28.6667924 0,77.4753714 28.6667924 0,77.475028 28.6665665 0,77.4747276 28.6668677 0,77.4691486 28.6640059 0,77.4650717 28.6609181 0))",Pandav nagar industrial area,,,,,,-1,0,-1,,
"POLYGON Z ((77.4607158 28.6572653 0,77.4649429 28.660711 0,77.4640846 28.6614829 0,77.4608231 28.6630833 0,77.4559736 28.6650038 0,77.4553943 28.6621796 0,77.4547505 28.6605603 0,77.4574327 28.6594306 0,77.4607158 28.6572653 0))",Kavi nagar industrial area,,,,,,-1,0,-1,,
"POLYGON Z ((77.4376488 28.6453269 0,77.4311256 28.6383967 0,77.452755 28.6339521 0,77.4555874 28.6339521 0,77.4581623 28.6347808 0,77.471509 28.6530098 0,77.4702644 28.6563238 0,77.4677753 28.6586586 0,77.4650717 28.6609181 0,77.4465752 28.6457788 0,77.4433994 28.6438204 0,77.439537 28.6442723 0,77.4376488 28.6453269 0))",Bulandshahar road industrial area,,,,,,-1,0,-1,,
"POLYGON Z ((77.4580765 28.7124203 0,77.4244308 28.6801214 0,77.4273491 28.6763563 0,77.4316406 28.6783895 0,77.43752 28.6795567 0,77.4378204 28.6825687 0,77.4402666 28.6867853 0,77.4612522 28.7094092 0,77.458806 28.7110277 0,77.4591064 28.7113664 0,77.4580765 28.7124203 0))",Merrut road industrial area,,,,,,-1,0,-1,,
"POLYGON Z ((77.3743486 28.6882912 0,77.3779106 28.6820792 0,77.3818803 28.6785966 0,77.3856354 28.6783895 0,77.3988533 28.675208 0,77.3999155 28.6769305 0,77.3996687 28.6769964 0,77.4016428 28.6798579 0,77.4004841 28.6803473 0,77.4004841 28.6806862 0,77.3973942 28.681138 0,77.3898411 28.6804226 0,77.389884 28.6811756 0,77.3898411 28.6819474 0,77.3891115 28.6833969 0,77.3878241 28.6850158 0,77.3847771 28.6865218 0,77.3803997 28.687463 0,77.3748207 28.6880653 0,77.3743486 28.6882912 0))",Loni industrial area,,,,,,-1,0,-1,,
"POLYGON Z ((77.324996 28.495379 0,77.3296309 28.4952093 0,77.3292446 28.4946058 0,77.3292232 28.4943607 0,77.3322058 28.4907587 0,77.3364115 28.4965859 0,77.3324847 28.4995089 0,77.3316479 28.4986226 0,77.3311758 28.4986226 0,77.3312402 28.50015 0,77.3251247 28.500282 0,77.324996 28.495379 0))",Roop nagar industrial area,,,,,,-1,0,-1,,
"POLYGON Z ((82.6632786 22.4289997 0,82.6655531 22.4221368 0,82.6728058 22.4225732 0,82.677269 22.4228112 0,82.6804876 22.4197962 0,82.6818609 22.4203516 0,82.6792431 22.4295551 0,82.6787281 22.4315782 0,82.6766253 22.4307848 0,82.675724 22.4305865 0,82.6727629 22.4318955 0,82.6632786 22.4289997 0))","HTPS Township, Korba, Chhattisgarh",,,,,,-1,0,-1,,
"POLYGON Z ((82.654438 22.428246 0,82.6572275 22.4267782 0,82.6540518 22.4247947 0,82.6560688 22.4218194 0,82.6583862 22.4226922 0,82.6601887 22.4195582 0,82.6507044 22.4135676 0,82.6531506 22.4104731 0,82.658515 22.4115443 0,82.6612186 22.4162654 0,82.6654673 22.4178126 0,82.6641369 22.4237236 0,82.6570988 22.4306658 0,82.654438 22.428246 0))","NTPC Township, Korba, Chhattisgarh",,,,,,-1,0,-1,,
"POLYGON Z ((82.7277374 22.3986497 0,82.6848221 22.4005542 0,82.6686859 22.3875395 0,82.6834488 22.3348335 0,82.718811 22.2979909 0,82.773056 22.2836959 0,82.7933121 22.3291171 0,82.7874756 22.3837301 0,82.7277374 22.3986497 0))",Korba town,,,,,,-1,0,-1,,
"POLYGON Z ((73.2210016 29.1965271 0,73.2193279 29.1934176 0,73.218019 29.1929118 0,73.2179761 29.1921064 0,73.2196283 29.1919378 0,73.2190704 29.1908888 0,73.2202291 29.1901769 0,73.2239413 29.1968268 0,73.2210016 29.1965271 0))",RIICO industrial areas Phase 1,,,,,,-1,0,-1,,
"POLYGON Z ((73.1965828 29.1962274 0,73.1924629 29.1846132 0,73.216753 29.1857372 0,73.2158089 29.1960775 0,73.1965828 29.1962274 0))",RIICO industrial area,,,,,,-1,0,-1,,
"POLYGON Z ((77.8589058 12.7309401 0,77.8544426 12.7148653 0,77.8877449 12.7031434 0,77.8939247 12.7249122 0,77.8589058 12.7309401 0))",SIPCOT industrial complex,,,,,,-1,0,-1,,
"POLYGON Z ((75.892868 30.8919136 0,75.8973312 30.8758556 0,75.935955 30.8608264 0,75.9453964 30.8844006 0,75.9163857 30.903403 0,75.892868 30.8919136 0))",Focal point,,,,,,-1,0,-1,,
"POLYGON Z ((83.2928467 17.6741194 0,83.2331085 17.6878578 0,83.1850433 17.6564541 0,83.2073593 17.6243906 0,83.2653809 17.6463122 0,83.2928467 17.6741194 0))",Bowl area,,,,,,-1,0,-1,,
"POLYGON Z ((83.8668823 21.7518469 0,84.1030884 21.8513021 0,83.973999 21.9634249 0,83.7075806 21.8105083 0,83.8668823 21.7518469 0))",Ib valley of Jharsuguda,,,,,,-1,0,-1,,
