X,Y,Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon
70.887196,22.787159,Millenium Papers Pvt Ltd,,,,,,-1,0,-1,,
70.9829973,22.7082905,Camerich Papers Pvt Ltd,,,,,,-1,0,-1,,
77.5569265,8.7066957,Sun Paper Mills,,,,,,-1,0,-1,,
79.1119573,21.1496164,Malu Paper Mills Ltd.,,,,,,-1,0,-1,,
78.8763133,21.4044286,Malu Paper Mills Savner,,,,,,-1,0,-1,,
76.7639499,30.7195549,Hindustan Paper Corpn Ltd,,,,,,-1,0,-1,,
75.806758,26.918721,Hindustan Paper Corporation Limited,,,,,,-1,0,-1,,
88.3544933,22.5509537,HINDUSTAN PAPER CORPORATION LIMITED,,,,,,-1,0,-1,,
92.2130585,26.120687,Hindustan Paper Corporation Limited,,,,,,-1,0,-1,,
77.5809105,12.9940996,Hindustan Paper Corpn Limited,,,,,,-1,0,-1,,
78.4896,17.441384,Hindustan Paper Corporation Limited,,,,,,-1,0,-1,,
92.5927091,24.8527961,Cachar Paper Mill,,,,,,-1,0,-1,,
77.3873488,10.5594329,GMJ Paper & Boards Private Limited,,,,,,-1,0,-1,,
77.7607369,11.3509545,Seshasayee Paper And Boards Ltd,,,,,,-1,0,-1,,
77.1570495,11.4965196,Aaditiya Aswin Paper Mills Pvt Ltd,,,,,,-1,0,-1,,
77.9768986,11.4511361,MSP Paper Mill Private Limited,,,,,,-1,0,-1,,
77.9693699,11.1323185,Kovai Maruthi Papers and Boards (P) Ltd. KMP,,,,,,-1,0,-1,,
77.9938498,11.0595306,Tamilnadu Newsprint and Papers Limited,,,,,,-1,0,-1,,
77.477811,10.479097,Sri Gajendira Paper and Boards Private Limited,,,,,,-1,0,-1,,
77.3513353,10.4595007,"SIVADHARSHINI PAPERS PVT. LTD.,",,,,,,-1,0,-1,,
77.3873488,10.5594329,GMJ Paper & Boards Private Limited,,,,,,-1,0,-1,,
76.94392,11.04477,Sri Venkatesa Group,,,,,,-1,0,-1,,
80.2433217,13.0056171,Sri Venkatesa Paper & Boards,,,,,,-1,0,-1,,
77.570773,12.964114,Amaravathi Sri Venkatesa Paper Mills Limited,,,,,,-1,0,-1,,
77.7288294,28.9930515,Shree Venkatesh Paper Mills,,,,,,-1,0,-1,,
76.0766472,31.3058235,Abc Paper Limited,,,,,,-1,0,-1,,
81.41773,16.836724,Venkata Naga Lakshmi Paper Mills Pvt Ltd,,,,,,-1,0,-1,,
81.7718663,17.0275341,International Paper APPM Ltd,,,,,,-1,0,-1,,
72.8241272,18.9236295,Andhra Pradesh Paper Mills Limited,,,,,,-1,0,-1,,
76.7888318,30.6907205,A P Paper Mills Limited,,,,,,-1,0,-1,,
77.017838,28.46385,Ballarpur Industries Ltd,,,,,,-1,0,-1,,
79.52,29.08,Century Pulp And Paper,,,,,,-1,0,-1,,
78.4078145,17.4221397,Delta Paper Mills Ltd,,,,,,-1,0,-1,,
75.8572758,30.900965,Hemkunt Paper Mills,,,,,,-1,0,-1,,
73.9639675,18.1726234,Indo Afrique Paper Mill Pvt Ltd,,,,,,-1,0,-1,,
78.49011,17.4429345,ITC Paperboards and Specialty Papers Division,,,,,,-1,0,-1,,
80.8622718,17.6985493,ITC PSPD,,,,,,-1,0,-1,,
83.4133017,19.2497586,JK Paper Ltd.,,,,,,-1,0,-1,,
73.5645055,21.166359,JK Paper Ltd.,,,,,,-1,0,-1,,
80.2607068,13.0853311,J K Paper Limited,,,,,,-1,0,-1,,
