X,Y,Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon
93.7695411,25.8455992,Nagaland Sugar Mill,,,,,,-1,0,-1,,
78.486671,17.385044,Shiv Shakti Sugar Mill India Private Limited,,,,,,-1,0,-1,,
80.2450245,13.0348506,South India Sugar Mills,,,,,,-1,0,-1,,
77.5998037,12.981788,South Indian Sugar Mills Association (Karnatka),,,,,,-1,0,-1,,
77.2244125,28.5622435,Indian Sugar Mills Association,,,,,,-1,0,-1,,
83.6919631,26.7404102,New India Sugar Mill Ltd,,,,,,-1,0,-1,,
81.3258567,20.6794848,Balod Sugar Mill,,,,,,-1,0,-1,,
77.4687631,29.0496722,Bajaj Hindustan Sugar Mill,,,,,,-1,0,-1,,
78.5135489,29.2902792,Dhampur Sugar Mill,,,,,,-1,0,-1,,
84.3288798,27.1546726,HARI NAGAR SUGAR MILLS LTD.,,,,,,-1,0,-1,,
82.1361979,26.7023137,K M Sugar Mills,,,,,,-1,0,-1,,
78.5370492,28.7016798,Dhampur Sugar Mills Limited,,,,,,-1,0,-1,,
85.4213834,26.6337836,Riga Sugar Mill,,,,,,-1,0,-1,,
77.2687026,28.5519173,Dhampur Sugar Mills Ltd,,,,,,-1,0,-1,,
77.2775103,30.1205367,Saraswati Sugar Mills,,,,,,-1,0,-1,,
77.27265,30.1206583,Saraswati Sugar Mill Colony,,,,,,-1,0,-1,,
72.1591239,21.769123,Palitana Sugar Mills Private Limited,,,,,,-1,0,-1,,
73.1105509,21.2989484,Mandvi Sugar,,,,,,-1,0,-1,,
73.0087272,20.8152304,Gandevi Sugar Factory,,,,,,-1,0,-1,,
73.1967552,20.9387979,Mahuva Sugar Factory,,,,,,-1,0,-1,,
72.6480952,23.2293999,Gujarat State Sugar Federation,,,,,,-1,0,-1,,
73.1070507,21.5619599,Ganesh Sugar Factory,,,,,,-1,0,-1,,
70.1098573,23.0037899,Renuka Sugars Ltd.,,,,,,-1,0,-1,,
72.7967685,21.2550383,SAYAN SUGAR FACTORY,,,,,,-1,0,-1,,
73.8819087,29.9301492,Rajasthan State Ganganagar Sugar Mills Limited,,,,,,-1,0,-1,,
82.1361979,26.7023137,K M Sugar Mills,,,,,,-1,0,-1,,
80.4026486,28.5845968,The Kisan Sahkari Chini Mills Ltd,,,,,,-1,0,-1,,
80.7295497,27.7785825,Hargaon Oudh Sugar Mills,,,,,,-1,0,-1,,
80.9334603,26.8372958,UP Sugar Mills Association,,,,,,-1,0,-1,,
83.98104,25.5644742,Chini Mill,,,,,,-1,0,-1,,
84.3288798,27.1546726,HARI NAGAR SUGAR MILLS LTD.,,,,,,-1,0,-1,,
