X,Y,Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon
72.7858131,24.5167494,India One Solar Thermal Power Plant,,,,,,-1,0,-1,,
72.6737865,23.2511711,Gandhinagar Thermal Power Station,,,,,,-1,0,-1,,
79.9354076,27.819417,Rosa Thermal Power Plant,,,,,,-1,0,-1,,
75.1691305,30.2589732,Guru Hargobind Thermal Plant,,,,,,-1,0,-1,,
86.0220658,25.4007529,Barauni Thermal Power Station EF 09,,,,,,-1,0,-1,,
78.1768847,22.1091349,Satpura Thermal Station,,,,,,-1,0,-1,,
84.9808681,21.1247971,Jindal India Thermal Power Limited,,,,,,-1,0,-1,,
82.6725788,24.0960377,Vindhyachal Super Thermal Power Station,,,,,,-1,0,-1,,
82.9807019,24.4454697,Obra Thermal Power Station,,,,,,-1,0,-1,,
77.8224332,11.7715422,Mettur Thermal Power Plant,,,,,,-1,0,-1,,
74.022672,29.1830597,Suratgarh Super Thermal Power Station,,,,,,-1,0,-1,,
76.5786318,30.5600752,Thermal Power Plant Rajpura,,,,,,-1,0,-1,,
74.9279595,30.2349699,Guru Nanak Dev Thermal Plant,,,,,,-1,0,-1,,
76.5848605,31.0427547,Guru Gobind Singh Super Thermal Power Plant,,,,,,-1,0,-1,,
81.6379881,23.1638776,Amarkantak Thermal Power Station,,,,,,-1,0,-1,,
81.0658063,23.3072249,Sanjay Gandhi Thermal Power Plant,,,,,,-1,0,-1,,
82.8061559,24.19266,Anpara D Thermal Power Plant,,,,,,-1,0,-1,,
83.8630629,21.8025593,IB Thermal Power Plant Banharpali,,,,,,-1,0,-1,,
83.128965,21.9061251,Athena Chhattisgarh Power Ltd,,,,,,-1,0,-1,,
82.6893916,22.4137691,Hasdeo Thermal Power Station,,,,,,-1,0,-1,,
85.0741374,21.0972861,Talcher Super Thermal Power Station,,,,,,-1,0,-1,,
82.7899218,24.0267102,Rihand Power Station,,,,,,-1,0,-1,,
