X,Y,Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon
77.1773588,28.7102999,Insecticides (India) Limited,,,,,,-1,0,-1,,
81.0686041,26.9139172,India Pesticides Limited,,,,,,-1,0,-1,,
76.8402027,30.7092367,Crop Care Pesticides India Private Limited,,,,,,-1,0,-1,,
78.5831181,17.3578951,Insecticides India Ltd,,,,,,-1,0,-1,,
73.181215,22.3334199,India Farm Care Pvt. Ltd.,,,,,,-1,0,-1,,
76.8744878,28.1765767,Insecticides India Limited,,,,,,-1,0,-1,,
72.84047,19.039152,Pesticides Manufacturers & Formulators Association Of India,,,,,,-1,0,-1,,
72.6535961,23.0685865,Gujarat Pesticides,,,,,,-1,0,-1,,
73.1863317,23.3396882,Ravi Pesticides,,,,,,-1,0,-1,,
76.9558436,28.6871712,Bharat Insecticides Limited Bahdurgarh,,,,,,-1,0,-1,,
77.552614,12.990042,Arbuda Agrochemicals Pvt Ltd,,,,,,-1,0,-1,,
77.5463999,12.9538686,Ramachandra pesticides pvt ltd,,,,,,-1,0,-1,,
77.4995922,13.0085113,Karnataka Insecticides & Fungicides,,,,,,-1,0,-1,,
77.548346,13.007939,Multiplex Fertilizers Pvt. Ltd.,,,,,,-1,0,-1,,
77.5411625,12.9568492,Dhanuka Agritech Limited,,,,,,-1,0,-1,,
77.0762201,13.2399621,Godrej Agrovet Ltd,,,,,,-1,0,-1,,
77.5109568,13.0214659,Rallis India Limited,,,,,,-1,0,-1,,
77.6586235,12.9964076,Maykar Pest Control,,,,,,-1,0,-1,,
75.1239547,15.3647083,Rallis India Limited,,,,,,-1,0,-1,,
77.5932542,12.9896829,Rallis India Limited,,,,,,-1,0,-1,,
75.882491,30.901648,Rallis India Limited- Nitya Agro Services,,,,,,-1,0,-1,,
76.2713478,9.9381415,Rallis India Limited,,,,,,-1,0,-1,,
77.0924177,28.4901277,Dhanuka Agritech Limited,,,,,,-1,0,-1,,
86.0287374,25.4125225,Barauni Fertilizer Corporation,,,,,,-1,0,-1,,
